t (s),V (mV)
0,13.8963
1.05,13.8844
2.099,13.8736
3.117,13.8614
4.118,13.8597
5.117,13.8324
6.117,13.8139
7.118,13.8055
8.117,13.7728
9.117,13.7646
10.118,13.7349
11.117,13.7019
12.118,13.6733
13.117,13.6615
14.117,13.6497
15.122,13.6258
16.117,13.6023
17.117,13.5963
18.117,13.5783
19.118,13.5543
20.117,13.52
21.118,13.523
22.117,13.5011
23.118,13.4697
24.117,13.4276
25.118,13.4005
26.118,13.3708
27.117,13.3574
28.117,13.337
29.118,13.3325
30.117,13.3053
31.118,13.2979
32.118,13.3018
33.117,13.2876
34.118,13.2886
35.117,13.265
36.118,13.2361
37.118,13.2305
38.117,13.2065
39.117,13.1788
40.117,13.1477
41.117,13.1281
42.118,13.1092
43.118,13.1004
44.117,13.0927
45.117,13.0669
46.118,13.0558
47.117,13.0426
48.118,13.0397
49.117,13.0169
50.117,12.9961
51.117,12.9883
52.118,12.9913
53.117,12.9918
54.118,12.9786
55.118,12.9506
56.117,12.9383
57.122,12.9189
58.118,12.9097
59.117,12.8808
60.117,12.8794
61.117,12.8745
62.118,12.8479
63.117,12.8246
64.117,12.7956
65.118,12.7546
66.117,12.7322
67.118,12.7422
68.118,12.7453
69.118,12.728
70.117,12.7075
71.118,12.6982
72.117,12.6862
73.118,12.6821
74.117,12.6755
75.117,12.6334
76.118,12.6175
77.117,12.5873
78.117,12.5646
79.118,12.5476
80.118,12.5305
81.117,12.5371
82.118,12.533
83.117,12.5195
84.117,12.5219
85.118,12.5157
86.117,12.4983
87.118,12.4838
88.117,12.4561
89.117,12.4526
90.117,12.4279
91.118,12.4339
92.118,12.412
93.118,12.4044
94.117,12.3796
95.117,12.3754
96.118,12.3582
97.117,12.359
98.118,12.3369
99.117,12.3079
100.118,12.2975
101.117,12.2725
102.118,12.2835
103.117,12.259
104.118,12.2496
105.117,12.2271
106.118,12.2122
107.117,12.1924
108.118,12.1822
109.117,12.1676
110.117,12.1423
111.123,12.1336
112.117,12.1232
113.118,12.0946
114.117,12.0885
115.118,12.0763
116.117,12.0743
117.117,12.0603
118.118,12.0363
119.117,12.0421
120.117,12.0196
121.118,12.0047
122.117,11.989
123.117,11.9711
124.118,11.9667
125.117,11.9652
126.117,11.9341
127.117,11.9361
128.118,11.9223
129.117,11.926
130.117,11.9024
131.118,11.8866
132.117,11.8707
133.117,11.8564
134.118,11.8483
135.122,11.8311
136.118,11.8173
137.117,11.815
138.118,11.7784
139.117,11.7716
140.117,11.7627
141.122,11.7489
142.117,11.7412
143.117,11.7502
144.117,11.7265
145.118,11.7155
146.117,11.7073
147.117,11.6973
148.118,11.6574
149.117,11.6523
150.118,11.6458
151.117,11.6265
152.118,11.6206
153.117,11.6132
154.117,11.5859
155.118,11.5753
156.117,11.5701
157.117,11.5578
158.118,11.5525
159.122,11.5305
160.118,11.5277
161.118,11.5072
162.117,11.5086
163.118,11.5033
164.118,11.4887
165.117,11.4634
166.118,11.4534
167.118,11.4378
168.117,11.4484
169.118,11.4441
170.118,11.4381
171.117,11.4155
172.117,11.4228
173.118,11.4167
174.118,11.3924
175.118,11.3889
176.117,11.3731
177.117,11.3645
178.118,11.3523
179.118,11.3385
180.117,11.337
181.118,11.3473
182.118,11.3253
183.117,11.326
184.117,11.3065
185.117,11.2883
186.119,11.2736
187.118,11.2541
188.117,11.2364
189.122,11.2236
190.117,11.2079
191.117,11.2108
192.118,11.2056
193.118,11.2026
194.117,11.2033
195.117,11.1833
196.118,11.1749
197.117,11.1405
198.118,11.1395
199.117,11.1319
200.118,11.1162
201.117,11.1052
202.117,11.084
203.118,11.0626
204.117,11.0711
205.118,11.0559
206.117,11.04
207.118,11.0292
208.118,11.0217
209.117,11.007
210.118,10.9971
211.117,10.9909
212.118,10.9823
213.117,10.9943
214.118,10.9687
215.117,10.9727
216.118,10.9499
217.118,10.9287
218.118,10.9219
219.117,10.9102
220.118,10.8841
221.118,10.888
222.117,10.8766
223.117,10.8644
224.118,10.8568
225.117,10.8645
226.117,10.8402
227.118,10.8334
228.118,10.8109
229.117,10.7988
230.118,10.7909
231.118,10.7729
232.117,10.7822
233.117,10.7682
234.117,10.7637
235.117,10.7462
236.118,10.7436
237.118,10.7345
238.117,10.7158
239.117,10.7036
240.118,10.6916
241.118,10.6823
242.117,10.6646
243.122,10.6597
244.118,10.6446
245.117,10.6353
246.117,10.6264
247.117,10.6267
248.116,10.5988
249.117,10.6017
250.117,10.5742
251.116,10.5723
252.117,10.561
253.116,10.563
254.116,10.556
255.117,10.5386
256.117,10.5316
257.116,10.5328
258.116,10.5171
259.117,10.5041
260.116,10.5038
261.121,10.4784
262.117,10.4488
263.116,10.4485
264.117,10.4469
265.116,10.438
266.116,10.428
267.116,10.422
268.116,10.4115
269.116,10.4144
270.117,10.4128
271.116,10.3835
272.117,10.3933
273.116,10.3864
274.117,10.3772
275.116,10.3742
276.117,10.3463
277.117,10.3384
278.117,10.3413
279.118,10.3204
280.116,10.3065
281.117,10.2818
282.117,10.2586
283.116,10.2779
284.116,10.2735
285.117,10.2581
286.117,10.257
287.116,10.252
288.116,10.2422
289.117,10.2273
290.117,10.2126
291.121,10.2064
292.116,10.1768
293.116,10.176
294.117,10.1672
295.117,10.1603
296.116,10.1492
297.116,10.1357
298.116,10.1223
299.117,10.1069
300.117,10.0951
301.116,10.0774
302.117,10.0817
303.116,10.0739
304.116,10.0447
305.116,10.0412
