t (s),V (mV)
0,13.0249
1.05,12.9577
2.101,12.8907
3.15,12.8279
4.161,12.7563
5.162,12.6923
6.162,12.6242
7.161,12.5732
8.162,12.5172
9.161,12.4457
10.161,12.3869
11.161,12.3178
12.161,12.2588
13.162,12.1989
14.162,12.1446
15.162,12.0904
16.161,12.0151
17.161,11.9639
18.161,11.9033
19.162,11.8556
20.162,11.7821
21.161,11.729
22.162,11.6631
23.162,11.6114
24.162,11.5626
25.161,11.5009
26.162,11.426
27.162,11.3705
28.161,11.3161
29.162,11.2619
30.161,11.2016
31.161,11.1598
32.162,11.101
33.161,11.0473
34.161,10.9953
35.161,10.9188
36.161,10.8796
37.162,10.8312
38.161,10.7757
39.161,10.7149
40.162,10.6667
41.161,10.6277
42.161,10.5571
43.161,10.5023
44.16,10.4509
45.161,10.3895
46.16,10.3371
47.16,10.2923
48.16,10.2367
49.16,10.1576
50.161,10.1148
51.161,10.0767
52.161,10.0077
53.162,9.9691
54.162,9.8978
55.162,9.8803
56.162,9.8302
57.161,9.7773
58.161,9.7152
59.161,9.687
60.161,9.6257
61.162,9.5911
62.161,9.5612
63.161,9.506
64.161,9.447
65.161,9.4252
66.161,9.3741
67.162,9.3188
68.161,9.2753
69.161,9.2322
70.162,9.1891
71.161,9.1406
72.161,9.0836
73.162,9.0497
74.161,8.9822
75.162,8.9475
76.162,8.8991
77.162,8.8589
78.162,8.8176
79.161,8.7572
80.161,8.7098
81.162,8.681
82.161,8.64
83.161,8.5921
84.161,8.5313
85.161,8.4983
86.162,8.4509
87.161,8.4165
88.161,8.3682
89.162,8.3432
90.161,8.279
91.161,8.2394
92.162,8.1873
93.162,8.1706
94.161,8.1488
95.162,8.1065
96.161,8.0611
97.162,8.0187
98.161,7.9667
99.162,7.9398
100.162,7.9032
101.162,7.8626
102.162,7.8414
103.162,7.7928
104.162,7.7724
105.162,7.7058
106.162,7.6793
107.162,7.6221
108.161,7.5907
109.161,7.5523
110.161,7.5349
111.162,7.4921
112.162,7.4438
113.161,7.4147
114.161,7.3664
115.161,7.3276
116.161,7.2906
117.162,7.2634
118.162,7.2235
119.162,7.1723
120.162,7.137
121.161,7.1011
122.161,7.0565
123.161,7.0042
124.161,6.974
125.162,6.9459
126.161,6.9009
127.162,6.8875
128.162,6.8508
129.161,6.8074
130.162,6.7801
131.161,6.7519
132.161,6.7153
133.161,6.6942
134.161,6.6651
135.162,6.6323
136.161,6.6057
137.162,6.5541
138.161,6.505
139.161,6.4936
140.162,6.4665
141.161,6.4428
142.161,6.407
143.162,6.3647
144.161,6.3427
145.161,6.316
146.162,6.2801
147.161,6.2546
148.161,6.2169
149.162,6.1882
150.161,6.1609
151.162,6.1199
152.162,6.1007
153.161,6.0539
154.161,6.0219
155.161,5.9955
